bc,2012,2015
Agent_Colson,0.06444444444444444,0
Black_Widow,0.0725925925925926,0.04893046107331822
Captain_America,0.011851851851851853,0.04893046107331822
Eric_Selvic,0.0,0.0
Falcon,0,0.0
Hawk_Eye,0.034074074074074076,0.021946334089191232
Helen_Cho,0,0.0020105820105820104
Hulk,0.003703703703703704,0.021946334089191232
Iron_Man,0.1251851851851852,0.021946334089191232
Laura_Barton,0,0.0
Maria_Hill,0.003703703703703704,0.012290249433106576
Nick_Fury,0.0725925925925926,0.0
Pepper_Potts,0.0,0
Quick_Silver,0,0.010563114134542707
Scarlet_Witch,0,0.0162962962962963
Thor,0.011851851851851853,0.144848828420257
Vision,0,0.012857142857142859
War_Machine,0,0.01838624338624339
