ec,2012,2015
Agent_Colson,0.1450414644244197,0
Black_Widow,0.388330841047904,0.44086478282329283
Captain_America,0.5518791485934399,0.447473156170476
Eric_Selvic,0.04613097699826446,0.028443456181803956
Falcon,0,0.024445273051469395
Hawk_Eye,0.18827140135137496,0.24833182433083387
Helen_Cho,0,0.042334002253185746
Hulk,0.28007129781015067,0.45548496505313363
Iron_Man,0.530696145576259,0.4529501516365219
Laura_Barton,0,0.054227850202800014
Maria_Hill,0.1438039564265891,0.10161063604803103
Nick_Fury,0.2541439231513841,0.07712074842422133
Pepper_Potts,0.06422637645534944,0
Quick_Silver,0,0.08425436911245973
Scarlet_Witch,0,0.06737914083234324
Thor,0.1911681967612318,0.30156964517458656
Vision,0,0.06653999716081592
War_Machine,0,0.041043877005902916
