episode	All	MBC 평균	야경꾼일지	기황후	불의 여신 정이	구가의서	마의	아랑사또전	무신	해를품은달	KBS 평균	정도전	조선총잡이	칼과꽃	대왕의 꿈	전우치	공주의 남자	SBS 평균	신의	비밀의 문	뿌리깊은나무	장옥정, 사랑에 살다	대풍수	무사 백동수
1		0.114 	0.109 	0.111 	0.107 	0.112 	0.087 	0.133 	0.071 	0.180 	0.107 	0.116 	0.084 	0.067 	0.125 	0.149 	0.102 	0.093 	0.094 	0.088 	0.095 	0.113 	0.065 	0.101 
2		0.124 	0.108 	0.136 	0.114 	0.122 	0.097 	0.132 	0.084 	0.199 	0.100 	0.107 	0.080 	0.064 	0.122 	0.132 	0.094 	0.094 	0.103 	0.097 	0.098 	0.091 	0.070 	0.106 
3		0.122 	0.110 	0.128 	0.103 	0.136 	0.066 	0.132 	0.072 	0.232 	0.100 	0.108 	0.080 	0.054 	0.115 	0.126 	0.117 	0.113 	0.103 	0.079 	0.182 	0.079 	0.106 	0.127 
4		0.136 	0.113 	0.145 	0.120 	0.151 	0.100 	0.144 	0.082 	0.234 	0.100 	0.112 	0.087 	0.053 	0.123 	0.125 	0.098 	0.115 	0.115 	0.100 	0.191 	0.070 	0.076 	0.137 
5		0.136 	0.121 	0.145 	0.106 	0.144 	0.104 	0.124 	0.095 	0.249 	0.116 	0.130 	0.099 	0.045 	0.128 	0.121 	0.170 	0.112 	0.106 	0.075 	0.183 	0.069 	0.093 	0.143 
6		0.152 	0.127 	0.163 	0.118 	0.158 	0.129 	0.130 	0.097 	0.293 	0.113 	0.118 	0.105 	0.058 	0.117 	0.108 	0.169 	0.117 	0.122 	0.070 	0.186 	0.075 	0.097 	0.150 
7		0.152 	0.122 	0.155 	0.117 	0.163 	0.143 	0.117 	0.102 	0.297 	0.112 	0.132 	0.102 	0.056 	0.096 	0.110 	0.174 	0.114 	0.098 	0.070 	0.189 	0.082 	0.098 	0.145 
8		0.157 	0.121 	0.169 	0.118 	0.164 	0.143 	0.109 	0.118 	0.317 	0.107 	0.119 	0.106 	0.058 	0.088 	0.103 	0.166 	0.119 	0.110 	0.064 	0.192 	0.078 	0.101 	0.167 
9		0.158 	0.121 	0.172 	0.104 	0.154 	0.134 	0.141 	0.096 	0.345 	0.123 	0.126 	0.116 	0.055 	0.132 	0.114 	0.192 	0.116 	0.118 	0.060 	0.174 	0.093 	0.085 	0.163 
10		0.159 	0.086 	0.181 	0.110 	0.144 	0.135 	0.145 	0.100 	0.371 	0.121 	0.128 	0.119 	0.050 	0.114 	0.119 	0.196 	0.119 	0.112 	0.060 	0.202 	0.080 	0.087 	0.174 
11		0.159 	0.096 	0.178 	0.100 	0.145 	0.147 	0.138 	0.098 	0.371 	0.124 	0.129 	0.112 	0.063 	0.131 	0.122 	0.186 	0.112 	0.104 	0.040 	0.191 	0.092 	0.081 	0.161 
12		0.168 	0.116 	0.190 	0.116 	0.159 	0.154 	0.131 	0.108 	0.371 	0.128 	0.136 	0.117 	0.065 	0.131 	0.129 	0.187 	0.118 	0.101 	0.063 	0.199 	0.093 	0.090 	0.159 
13		0.163 	0.113 	0.202 	0.091 	0.148 	0.146 	0.117 	0.106 	0.384 	0.131 	0.161 	0.105 	0.064 	0.139 	0.122 	0.197 	0.114 	0.097 	0.052 	0.194 	0.096 	0.069 	0.173 
14		0.170 	0.122 	0.195 	0.096 	0.159 	0.168 	0.125 	0.122 	0.376 	0.129 	0.152 	0.122 	0.046 	0.109 	0.128 	0.218 	0.119 	0.090 	0.062 	0.205 	0.092 	0.088 	0.177 
15		0.166 	0.103 	0.188 	0.078 	0.164 	0.178 	0.133 	0.090 	0.391 	0.131 	0.149 	0.111 	0.057 	0.122 	0.128 	0.218 	0.118 	0.093 	0.053 	0.201 	0.111 	0.075 	0.175 
16		0.173 	0.095 	0.188 	0.086 	0.182 	0.181 	0.129 	0.112 	0.413 	0.126 	0.140 	0.110 	0.045 	0.118 	0.133 	0.211 	0.122 	0.095 	0.053 	0.211 	0.105 	0.088 	0.178 
17		0.163 	0.105 	0.173 	0.086 	0.175 	0.177 	0.126 	0.101 	0.360 	0.136 	0.143 	0.111 	0.050 	0.125 	0.138 	0.246 	0.123 	0.105 	0.055 	0.210 	0.114 	0.079 	0.173 
18		0.172 	0.102 	0.175 	0.091 	0.188 	0.189 	0.114 	0.106 	0.412 	0.132 	0.146 	0.117 	0.054 	0.112 	0.138 	0.222 	0.124 	0.099 	0.056 	0.208 	0.113 	0.090 	0.176 
19		0.166 	0.093 	0.179 	0.084 	0.183 	0.180 	0.124 	0.095 	0.387 	0.130 	0.154 	0.108 	0.050 	0.109 	0.136 	0.221 	0.121 	0.088 	0.055 	0.216 	0.110 	0.080 	0.178 
20		0.175 	0.097 	0.191 	0.091 	0.191 	0.178 	0.124 	0.103 	0.422 	0.131 	0.165 	0.115 	0.053 	0.090 	0.134 	0.230 	0.122 	0.099 	0.054 	0.217 	0.100 	0.091 	0.170 
21		0.137 	0.093 	0.196 	0.084 	0.186 	0.160 		0.100 		0.152 	0.169 	0.118 		0.107 	0.139 	0.227 	0.118 	0.093 	0.061 	0.219 	0.102 	0.082 	0.148 
22		0.141 	0.115 	0.203 	0.079 	0.163 	0.174 		0.110 		0.149 	0.161 	0.128 		0.108 	0.127 	0.219 	0.121 	0.089 	0.054 	0.227 	0.099 	0.085 	0.169 
23		0.144 	0.115 	0.208 	0.075 	0.178 	0.177 		0.113 		0.158 	0.156 			0.112 	0.128 	0.236 	0.118 	0.087 	0.043 	0.214 	0.090 	0.098 	0.178 
24		0.155 	0.125 	0.226 	0.072 	0.195 	0.189 		0.123 		0.169 	0.158 			0.117 	0.152 	0.249 	0.131 	0.101 	0.052 	0.254 	0.103 	0.088 	0.185 
25		0.141 		0.228 	0.060 		0.171 		0.105 		0.143 	0.146 			0.139 			0.140 					0.108 	0.171 
26		0.162 		0.249 	0.076 		0.191 		0.131 		0.144 	0.161 			0.126 			0.132 					0.094 	0.169 
27		0.150 		0.239 	0.074 		0.181 		0.106 		0.145 	0.172 			0.117 			0.128 					0.102 	0.153 
28		0.154 		0.253 	0.072 		0.166 		0.125 		0.153 	0.182 			0.124 			0.138 					0.093 	0.182 
29		0.150 		0.227 	0.090 		0.183 		0.101 		0.146 	0.171 			0.121 			0.141 					0.102 	0.179 
30		0.158 		0.265 	0.080 		0.181 		0.104 		0.147 	0.171 			0.122 			0.096 					0.096 	
31		0.169 		0.266 	0.093 		0.192 		0.123 		0.154 	0.182 			0.126 			0.090 					0.090 	
32		0.164 		0.253 	0.096 		0.201 		0.107 		0.146 	0.175 			0.116 			0.091 					0.091 	
33		0.197 		0.286 			0.200 		0.105 		0.145 	0.168 			0.121 			0.096 					0.096 	
34		0.185 		0.262 			0.184 		0.108 		0.152 	0.184 			0.119 			0.095 					0.095 	
35		0.198 		0.283 			0.210 		0.100 		0.144 	0.182 			0.105 			0.088 					0.088 	
36		0.203 		0.269 			0.224 		0.117 		0.144 	0.198 			0.090 									
37		0.211 		0.292 			0.237 		0.105 		0.150 	0.173 			0.127 									
38		0.200 		0.277 			0.193 		0.131 		0.157 	0.192 			0.122 									
39		0.195 		0.265 			0.203 		0.116 		0.139 	0.162 			0.115 									
40		0.187 		0.244 			0.194 		0.123 		0.140 	0.176 			0.103 									
41		0.182 		0.260 			0.181 		0.106 		0.130 	0.155 			0.105 									
42		0.193 		0.250 			0.196 		0.132 		0.147 	0.178 			0.115 									
43		0.190 		0.250 			0.197 		0.122 		0.146 	0.174 			0.117 									
44		0.184 		0.243 			0.184 		0.126 		0.159 	0.187 			0.130 									
45		0.181 		0.255 			0.185 		0.103 		0.157 	0.189 			0.124 									
46		0.187 		0.253 			0.188 		0.120 		0.153 	0.184 			0.122 									
47		0.175 		0.261 			0.194 		0.070 		0.149 	0.171 			0.127 									
48		0.173 		0.229 			0.188 		0.101 		0.158 	0.189 			0.126 									
49		0.192 		0.266 			0.191 		0.120 		0.139 	0.166 			0.111 									
50		0.183 		0.262 			0.178 		0.109 		0.151 	0.190 			0.111 									
51		0.201 		0.287 					0.115 		0.114 				0.114 									
52		0.112 							0.112 		0.104 				0.104 									
53		0.130 							0.130 		0.109 				0.109 									
54		0.100 							0.100 		0.102 				0.102 									
55		0.122 							0.122 		0.103 				0.103 									
56		0.111 							0.111 		0.098 				0.098 									
57											0.106 				0.106 									
58											0.104 				0.104 									
59											0.099 				0.099 									
60											0.108 				0.108 									
61											0.099 				0.099 									
62											0.099 				0.099 									
63											0.096 				0.096 									
64											0.095 				0.095 									
65											0.101 				0.101 									
66											0.098 				0.098 									
67											0.097 				0.097 									
68											0.106 				0.106 									
69											0.087 				0.087 									
70											0.093 				0.093 									
